pattern_name,side,st_3m,st_1h,st_4h,trend_align,is_consolidation,breakout,volume_spike,neckline_break,atr_ratio,rsi,close_vs_ema,label
descending_triangle,SELL,1,0,0,0,1,1,1,1,0.005,42.0,0,0
head_shoulders,SELL,0,0,0,1,0,1,1,1,0.006,42.0,0,0
triple_bottom,BUY,1,1,1,1,0,1,1,1,0.005,51.0,1,0
delphic_phenomenon_buy,BUY,1,1,1,1,0,1,1,0,0.005,50.0,1,0
channel_down_break,BUY,1,1,1,0,0,1,1,0,0.005,28.0,0,0
squeeze_break_sell,SELL,0,0,0,1,1,1,1,0,0.003,38.0,0,0
broadening_bottom,BUY,1,1,1,1,0,1,1,0,0.008,35.0,0,0
pattern_name,side,st_3m,st_1h,st_4h,trend_align,is_consolidation,breakout,volume_spike,neckline_break,atr_ratio,rsi,close_vs_ema,label
fake_breakout_high,BUY,1,1,1,1,0,1,0,0,0.002,78,1,0
fake_breakout_low,SELL,0,0,0,1,0,1,0,0,0.002,22,0,0
low_vol_pump,BUY,1,1,1,1,0,1,0,0,0.004,65,1,0
low_vol_dump,SELL,0,0,0,1,0,1,0,0,0.004,35,0,0
overbought_trap,BUY,1,1,1,1,0,1,1,0,0.012,85,1,0
oversold_trap,SELL,0,0,0,1,0,1,1,0,0.012,15,0,0
no_follow_through,BUY,1,1,0,1,0,1,1,0,0.005,60,1,0
resistance_rejection,BUY,1,1,1,0,0,1,1,0,0.003,68,1,0
support_failure,BUY,1,0,0,0,0,1,1,0,0.006,32,0,0
choppy_noise,BUY,0,1,0,1,1,0,0,0,0.002,50,1,0
choppy_noise,SELL,1,0,1,0,1,0,0,0,0.002,50,0,0
bull_trap_ema,BUY,1,1,1,1,0,0,0,0,0.003,55,0,0
bear_trap_ema,SELL,0,0,0,1,0,0,0,0,0.003,45,1,0
rsi_divergence_fail,BUY,1,0,0,0,0,1,1,0,0.005,25,0,0
rsi_divergence_fail,SELL,0,1,1,1,0,1,1,0,0.005,75,1,0
late_trend_entry,BUY,1,1,1,1,0,0,0,0,0.010,82,1,0
late_trend_entry,SELL,0,0,0,1,0,0,0,0,0.010,18,0,0
exhaustion_spike,BUY,1,1,1,1,0,1,1,0,0.020,88,1,0
exhaustion_spike,SELL,0,0,0,1,0,1,1,0,0.020,12,0,0
squeeze_fake_up,BUY,1,1,1,1,1,1,0,0,0.002,62,1,0
squeeze_fake_down,SELL,0,0,0,1,1,1,0,0,0.002,38,0,0
news_wick_trap,BUY,1,1,0,0,0,1,1,0,0.030,70,1,0
news_wick_trap,SELL,0,0,1,1,0,1,1,0,0.030,30,0,0
head_shoulders_fail,SELL,0,0,0,1,0,1,0,1,0.005,45,0,0
inv_head_shoulders_fail,BUY,1,1,1,1,0,1,0,1,0.005,55,1,0
double_top_fail,SELL,0,0,0,1,0,1,0,1,0.004,50,0,0
double_bottom_fail,BUY,1,1,1,1,0,1,0,1,0.004,50,1,0
weak_flag_break,BUY,1,1,1,1,0,1,0,0,0.003,58,1,0
weak_flag_break,SELL,0,0,0,1,0,1,0,0,0.003,42,0,0
dead_cat_bounce_fail,BUY,1,0,0,0,0,1,0,0,0.007,35,0,0
range_fakeout_up,BUY,1,1,1,1,1,1,0,0,0.003,64,1,0
range_fakeout_down,SELL,0,0,0,1,1,1,0,0,0.003,36,0,0
unsupported_pump,BUY,1,0,0,1,0,1,1,0,0.008,60,1,0
unsupported_dump,SELL,0,1,1,0,0,1,1,0,0.008,40,0,0
ema_cross_trap_buy,BUY,1,1,1,0,0,0,1,0,0.004,52,1,0
ema_cross_trap_sell,SELL,0,0,0,1,0,0,1,0,0.004,48,0,0
low_atr_breakout,BUY,1,1,1,1,1,1,1,0,0.001,55,1,0
low_atr_breakout,SELL,0,0,0,1,1,1,1,0,0.001,45,0,0
over_leveraged_spike,BUY,1,1,1,0,0,1,1,0,0.018,75,1,0
over_leveraged_spike,SELL,0,0,0,1,0,1,1,0,0.018,25,0,0
inside_bar_fail_up,BUY,1,1,1,1,1,1,0,0,0.002,58,1,0
inside_bar_fail_down,SELL,0,0,0,1,1,1,0,0,0.002,42,0,0
ascending_tri_fail,BUY,1,1,1,1,1,0,0,1,0.004,52,1,0
descending_tri_fail,SELL,0,0,0,1,1,0,0,1,0.004,48,0,0
bull_pennant_fail,BUY,1,1,1,1,1,1,0,0,0.003,60,1,0
bear_pennant_fail,SELL,0,0,0,1,1,1,0,0,0.003,40,0,0
v_reversal_trap,BUY,1,0,0,0,0,1,1,0,0.015,30,0,0
v_reversal_trap,SELL,0,1,1,1,0,1,1,0,0.015,70,1,0
liquidity_grab_fail,BUY,1,1,1,1,0,1,1,0,0.009,40,0,0
liquidity_grab_fail,SELL,0,0,0,1,0,1,1,0,0.009,60,1,0
sideways_exhaustion,BUY,1,1,1,0,1,0,1,0,0.002,55,1,0
sideways_exhaustion,SELL,0,0,0,1,1,0,1,0,0.002,45,0,0
broadening_trap,BUY,1,1,1,0,0,1,1,0,0.010,50,1,0
broadening_trap,SELL,0,0,0,1,0,1,1,0,0.010,50,0,0
fvg_fill_reversal,BUY,1,1,1,1,0,1,1,0,0.008,45,0,0
fvg_fill_reversal,SELL,0,0,0,0,0,1,1,0,0.008,55,1,0
stoch_overbought_trap,BUY,1,1,1,1,0,1,1,0,0.005,82,1,0
stoch_oversold_trap,SELL,0,0,0,1,0,1,1,0,0.005,18,0,0
wedge_break_fail,BUY,1,1,1,1,0,1,0,0,0.006,60,1,0
wedge_break_fail,SELL,0,0,0,1,0,1,0,0,0.006,40,0,0
trendline_fake_break,BUY,1,1,1,1,0,1,0,0,0.004,58,1,0
trendline_fake_break,SELL,0,0,0,1,0,1,0,0,0.004,42,0,0
auto_pattern,SELL,0,0,0,1,1,0,1,0,0.001628,78.84,1,1
